id,title,description,guid,place_type,is_room,room_id
105,корпус М ,,corpusM,корпус М ,0,
106,ШБМ,,shbm,аудитория,1,99.0
107,D711,,D711,аудитория,1,74.0
108,D769,,D769,аудитория,1,108.0
109,D771,,D771,аудитория,1,100.0
110,временное,,temp,корпус М ,0,
111,Баркемп,Пространство для проведения метаигры,barcamp,корпус М ,0,
112,Столовая 1,,canteen1,Питание,0,
113,Столовая 7.2,Столовая в корпусе 7.2,canteen7.2,Питание,0,
114,Столовая 5,Столовая в корпусе 5,canteen5,Питание,0,
115,"D574,D589,D343",,D574D589D343,temp,0,
116,Тихоокеанский рубеж,"Точка кипения, ""Тихоокеанский рубеж""",Tich.rub,temp,0,
117,"D906,D923",,D906D923,temp,0,
118,"D601,D602,D603",,D601D602D603,temp,0,
119,D752,афмитеатр,D752,temp,0,
120,Аякс Большой зал (А 4 эт),"Коворкинг Аякс: Большой зал
Корпус А, 4 этаж",bighall,аудитория,1,109.0
121,D762,,D762,temp,0,
122,S348,S348 в спортивном корпусе S,S348,temp,0,
123,Культурное,Пространство для культурных мероприятий,culture,Культурное,0,
124,ШБМ - Л432,Корпус Л 432,L432,аудитория,1,110.0
125,"Зал ""Начало""","А корпус, 8 этаж, Точка кипения",769,temp,0,
126,"D601,D602","601,602",601602,temp,0,
127,Л403,,l403,аудитория,1,111.0
128,Холл 12-го этажа корпуса А,Холл 12-го этажа корпуса А,HallA12,аудитория,1,112.0
129,Фаблаб,фаблаб,fablab,temp,0,
130,Морской зал,"В корпус, 5 уровень",500,Культурное,0,
131,"D447,D448,D449",,447448449,аудитория,1,45.0
132,Аякс_Малый зал,"Корпус А, 4 уровень, коворкинг Аякс, малый зал",421,temp,0,
133,"D704,D705","D704,D705",704705,temp,0,
134,Корпус А,зал 4 этажа,newhall,Метаигра,0,
135,"""Холл Роснефти"" 6-ой уровень корпуса А",,hall,Метаигра,0,
136,"D501, D504",,audience,Метаигра,0,
