title,bio,org_description,position_org
Кумейко Вадим Владимирович,"<p>заместитель директора и один из организаторов Школы биомедицины Дальневосточного федерального университета, является также заведующим Лабораторией биомедицинских клеточных технологий, его научные интересы связаны с изучением молекул и клеток для создания новых биомедицинских технологий, автор публикаций в ведущих российских и зарубежных научных журналах</p>","ДВФУ – крупнейший университет азиатской части России, являющийся приемником созданного в 1899 году по указу императора Николая II Восточного института. ДВФУ показывает высокую динамику развития, а с 2013 года локализован в новом кампусе на острове Русском, соединенным с центром Владивостока двумя вантовыми мостами. Университет имеет прекрасно оборудованные лаборатории для проведения научных исследований, активно участвует в международных научных проектах, в нем учатся студенты из более чем 60 стран мира.  Университет активно привлекает ученых со всего мира, развивает партнерства с ведущими университетами мира, поддерживает проектно-ориентированные студенческие стажировки. Кампус университета по праву является лучшим в России и одним из лучших в мире",Заместитель директора Школы биомедицины ДВФУ
Скоблов Михаил Юрьевич,"<p>заведующий Лабораторией геномной медицины Центра геномной и регенеративной медицины Школы биомедицины Дальневосточного федерального университета, заведующий лабораторией в Медико-генетическом научном центре. Михаил Скоблов является специалистом в области генетики человека и анализа больших данных с привлечением оригинальных подходов биоинформатики, является автором передовых публикаций в отечественных и зарубежных научных изданиях</p>","ДВФУ – крупнейший университет азиатской части России, являющийся приемником созданного в 1899 году по указу императора Николая II Восточного института. ДВФУ показывает высокую динамику развития, а с 2013 года локализован в новом кампусе на острове Русском, соединенным с центром Владивостока двумя вантовыми мостами. Университет имеет прекрасно оборудованные лаборатории для проведения научных исследований, активно участвует в международных научных проектах, в нем учатся студенты из более чем 60 стран мира.  Университет активно привлекает ученых со всего мира, развивает партнерства с ведущими университетами мира, поддерживает проектно-ориентированные студенческие стажировки. Кампус университета по праву является лучшим в России и одним из лучших в мире",Заведующий Лабораторией геномной медицины Центра геномной и регенеративной медицины Школы биомедицины ДВФУ
Богомолов Артем Игоревич,"<p>Эксперт компании Beckman Coulter, специалист в области геномики и лабораторной автоматизации, активный сторонних трансфера геномных технологий в области практического применения, организатор мероприятий и коммуникативных площадок для популяризации и применения технологий генетики и молекулярной биологии</p>",Американская компания по производству биомедицинских лабораторных инструментов.,"Представитель ""Лабораторная автоматизация геномика Россия СНГ Израиль в Beckman Coulter Life Sciences"""""
Баранова Анна Вячеславовна,"<p>Главный научный сотрудник Медико-генетического научного центра (ФГБНУ ""МГНЦ""), специалист в области системной биологии, молекулярной генетики, автор научных работ в передовых отечественных и зарубежных журналах.</p>","Основные направления научной работы ФГБНУ ""МГНЦ"" - это фундаментальные научные исследования по генетике человека и медицинской генетике, включая такие проблемы, как структурно-функциональный анализ генома человека на молекулярном, биохимическом, клеточном и организменном уровнях; распространение, этиология и патогенез наследственных болезней, их диагностика, профилактика и лечение; мутационный процесс у человека, изменения генофонда популяций человека в связи с техногенными загрязнениями среды обитания.","Главный научный сотрудник Медико-генетического научного центра (ФГБНУ ""МГНЦ"")"
Стенкова Анна Михайловна,"<p>Заведующая лабораторией ДНК-диагностики Центра геномной и регенеративной медицины Школы биомедицины Дальневосточного федерального университета. Анна Стенкова является успешным молодым ученым, специализирующимся в области генетики бактерий, а также генетике человека, автор научных работ в передовых отечественных и зарубежных научных изданиях</p>","ДВФУ – крупнейший университет азиатской части России, являющийся приемником созданного в 1899 году по указу императора Николая II Восточного института. ДВФУ показывает высокую динамику развития, а с 2013 года локализован в новом кампусе на острове Русском, соединенным с центром Владивостока двумя вантовыми мостами. Университет имеет прекрасно оборудованные лаборатории для проведения научных исследований, активно участвует в международных научных проектах, в нем учатся студенты из более чем 60 стран мира.  Университет активно привлекает ученых со всего мира, развивает партнерства с ведущими университетами мира, поддерживает проектно-ориентированные студенческие стажировки. Кампус университета по праву является лучшим в России и одним из лучших в мире",Заведующая лабораторией ДНК-диагностики Центра геномной и регенеративной медицины Школы биомедицины  ДВФУ
Карпенко Станислав Олегович,"<p>Директор центра проектной деятельности ДВФУ, координатор магистерской образовательной программы «Управление развитием территорий на основе технологий и данных дистанционного зондирования Земли». После окончания МГТУ им. Н.Э. Баумана десять лет работал инженером-разработчиком наземных станций приема спутниковой информации; разработчик систем управления ориентацией малых спутников; сооснователь компании Спутникс, создавшей первый в России частный микроспутник дистанционного зондирования Земли. Область интересов: системное проектирование космических аппаратов; бортовые системы управления, ориентации и стабилизации; наземная отработка космической техники; системы приема и обработки спутниковых данных; аппаратура и технологии дистанционного зондирования Земли.</p>
<p></p>","Центр проектной деятельности – подразделение Дирекции технологического предпринимательства в структуре Проректора по развитию ДВФУ, обеспечивающее студентов всех специальностей, как бакалавров, так и магистров, инженерными проектами, инициированными внешними или внутренними заказчиками, имеющими научно-прикладную ценность и перспективу коммерциализации. 

Задача Центра - предоставить комфортные условия для эффективного сотрудничества проектных групп с заказчиком и практической работы студентов над проектом на современном оборудовании; сочетать работу над проектом с университетской образовательной программой; приглашать для косультаций внутренних и внешних консультантов и экспертов; организовать цикл мотивирующих мероприятий (хакатоны, инженерные соревнования, поездки на конференции и т.д.), и, в конечном итоге,  дать возможность команде создать собственную компанию с востребованным на рынке продуктом уровня технологической готовности не ниже четвёртого (TRL 4), или же помочь стать частью команды представительства компании-заказчика.","Технический директор-руководитель центра проектной деятельности, ДВФУ"
Росатом,,,
Рыбаков Игорь Владимирович,"<p>""Рыбаков Фонд"" разрабатывает и внедряет программы развития предпринимательских сообществ и поддержки молодых талантов в сфере экономики и инноваций. По итогам 2017 года Игорь Рыбаков вошел в топ-5 наиболее пишущих крупных бизнесменов России по версии газеты «Коммерсант», участник списка богатейших людей мира по версии журнала Forbes в 2018 году с состоянием в 1,2 млрд долларов США.</p>",,"предприниматель, совладелец корпорации Технониколь и сооснователь Фонда «Институт ускорения экономического развития («Рыбаков Фонд»)», венчурный инвестор, филантроп."
Чаусов Игорь Сергеевич,"<p>Член экспертного совета АНО «Институт опережающих исследований им. Е.Л. Шифферса», ведущий аналитик Фонда «ЦСР Северо-Запад»</p>
<p>Опыт работы: </p>
<table>
 <tbody><tr>
  <td width=""130"" valign=""top"">
  <p>2018 – н.в.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Фонд «Центр стратегических разработок Северо-Запад», ведущий аналитик   Центра развития цифровой энергетики</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2017 – н.в.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>ФГБОУ ВПО «Московский политехнический университет», старший   преподаватель</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2017 – н.в.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>ФГБОУ ВПО «Московский физико-технический институт (государственный   университет», ведущий инженер Лаборатории водородной энергетики Института   арктических технологий</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2016 – 2017</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Фонд «Центр стратегических разработок», аналитик Проектного центра   развития инноваций</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2015 – 2016</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>ЗАО «ГидроИнжиниринг Сибирь», главный инженер проекта</p>
  </td>
 </tr>
</tbody></table>
<p>Проекты «Архитектуры Интернет энергии», «Электроводород: система транспортировки и хранения электроэнергии в водородном цикле на основе технологии LOHC», «Развитие рынка систем накопления электроэнергии в РФ», направление «Современная энергетика» смены «Большие вызовы» 2017 г. в ОЦ «Сириус», Олимпиада НТИ (трек «ИЭС»), летние инженерно-конструкторские школы «Лифт в будущее», «Школа генеральных конструкторов».</p>","АНО «Институт опережающих исследований “Управление человеческими ресурссами” им. Е.Л. Шифферса»

Справка об организации
https://shiffersinstitute.com 
Институт опережающих исследований и управления человеческими ресурсами имени Е.Л. Шифферса (Институт Шифферса, или ИОИ) был создан в 2004 году гуманитарно-методологической научной группой Ю.В. Громыко, ведущей свои разработки в России с конца 1980-х годов. Это одновременно и консалтинговая компания и фабрика мысли (think tank).
Научная традиция Института восходит к Московскому методологическому кружку (ММК) Г.П. Щедровицкого, учеником которого является Ю.В. Громыко. Также ряд научных программ Института восходит к разработкам директора Психологического института РАО В.В. Давыдовым и театрального и кино-режиссера, философа Е.Л. Шифферсом, в честь которого назван институт.
Исследования и перспективные разработки в области общего и профессионального образования, педагогических технологий и развития способностей Институт вел совместно с коллективом НИИ Инновационных стратегий развития общего образования Департамента образования Москвы (НИИ ИСРОО) до его реорганизации в Московский институт развития образования (МИРО).
АНО «Институт опережающих исследований “Управление человеческими ресурсами” им. Е.Л. Шифферса» сегодня – это консалтинговая компания и think-tank, где собственные теоретические разработки сочетаются с внедрением их в реальную практику. Институт выполняет проекты в области стратегического консалтинга для крупных компаний и корпораций, среднего и малого бизнеса; разработки и сопровождения государственных и региональных программ развития разных отраслей экономики и общества; формирования стратегий и программ развития регионов России; развития инновационных подходов к образованию; международной политики и международных проектов.
В Институте разработан набор уникальных инструментов и продуктов на основе мыследеятельностного подхода. Основной инструмент - это технология Сессий стратегического сценирования (ССС).
Сессии стратегического сценирования – особая форма организации коллективного мышления, коммуникации и процессов выработки и принятия решений важнейшими стейк-холдерами, специалистами, экспертами и лицами, принимающими решение. Технология ССС является развитием формы организационно-деятельностных игр (ОДИ), созданных в 1979 – 1989 гг. Г.П. Щедровицким и Московского Методологического Кружка.
Консалтинговое направление деятельности Института связано с оказанием услуг и выполнением договорных работ в интересах крупных отечественных и зарубежных компаний и корпораций, государственных корпораций, а также органов федеральной и региональной власти по тематикам:
− Стратегии и программы развития деятельности компаний и корпораций;
− Кадровые программы, развитие человеческих ресурсов, инновационное образование;
− Программы управления технологическими инновациями;
− Поддержка принятия сложных комплексных решений.
Исследовательское направление деятельности Института связано с собственными фундаментальными и прикладными исследованиями и перспективными разработками в таких областях, как:
− Социальная и политическая философия,
− Политическая антропология,
− Психология и антропология способностей,
− Педагогика и система образования,
− Эпистемология и управление знаниями,
− Исследования общественных институтов.
Также Институт владеет рядом образовательных технологий собственной разработки, прошедших успешную апробацию в московском образовании, – технологиями метапредметов, диагностики базовых способностей школьников, Школы генеральных конструкторов (ШГК) и рядом других.
Институт располагает собственной расширяющейся международной экспертной сетью, включающей ведущих мировых специалистов в областях современной экономики и финансов, философии, управления знаниями, энергетики, транспорта, коммерциализации инновационных технологий, математики, искусства и других научных или наукоемких направлениях и практиках.
Институт является разработчиком международного мегапроекта “Трансевразийский пояс развития” (ТЕПР) – комплексного проекта-программы создания центров формирования нового общественного богатства на территории, на основе интегрированных инфраструктур («мультиинфраструктур») и механизма долгосрочных инвестиций. Мегапроект ТЕПР рассматривается как комплексная программа выхода из разворачивающегося мирового экономического кризиса.
","Член экспертного совета АНО «Институт опережающих исследований им. Е.Л. Шифферса», ведущий аналитик Фонда «ЦСР Северо-Запад»."""
Ларионова Полина Алексеевна,"<p>Опыт работы:</p>
<table>
 <tbody><tr>
  <td width=""130"" valign=""top"">
  <p>2017 г.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Обучающий   модуль «Основы проектного подхода» для слушателей Университета талантов 2.0   (Казань), программный директор, соведущий модуля</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2017 г.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Проектная   смена «Большие вызовы» образовательного центра «Сириус», модератор   направления «Современная энергетика»</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2015 – 2017 гг.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Всероссийский   форум «Будущие интеллектуальные лидеры России», модератора, помощник   программного директора </p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2016 гг.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Олимпиада   НТИ, модератор трека «Энергетика»</p>
  </td>
 </tr>
 <tr>
  <td width=""130"" valign=""top"">
  <p>2015 г. – н.в.</p>
  </td>
  <td width=""508"" valign=""top"">
  <p>Участие в   организационно-деятельностных играх и проектных сессиях АНО «Институт   опережающих исследований “Управление человеческими ресурсами” им. Е.Л. Шифферса»   в должности модератора </p>
  </td>
 </tr>
</tbody></table>
<p>Проекты «Системы хранения водорода в твердой форме» (МГУ), «Проектория» (кейсы для портала и открытых уроков), проект «Водородный накопитель» смены «Большие вызовы» 2017 г. в ОЦ «Сириус», Олимпиада НТИ (трек «ИЭС»), летние инженерно-конструкторские школы «Лифт в будущее».</p>","АНО «Институт опережающих исследований “Управление человеческими ресурссами” им. Е.Л. Шифферса»

Справка об организации
https://shiffersinstitute.com 
Институт опережающих исследований и управления человеческими ресурсами имени Е.Л. Шифферса (Институт Шифферса, или ИОИ) был создан в 2004 году гуманитарно-методологической научной группой Ю.В. Громыко, ведущей свои разработки в России с конца 1980-х годов. Это одновременно и консалтинговая компания и фабрика мысли (think tank).
Научная традиция Института восходит к Московскому методологическому кружку (ММК) Г.П. Щедровицкого, учеником которого является Ю.В. Громыко. Также ряд научных программ Института восходит к разработкам директора Психологического института РАО В.В. Давыдовым и театрального и кино-режиссера, философа Е.Л. Шифферсом, в честь которого назван институт.
Исследования и перспективные разработки в области общего и профессионального образования, педагогических технологий и развития способностей Институт вел совместно с коллективом НИИ Инновационных стратегий развития общего образования Департамента образования Москвы (НИИ ИСРОО) до его реорганизации в Московский институт развития образования (МИРО).
АНО «Институт опережающих исследований “Управление человеческими ресурсами” им. Е.Л. Шифферса» сегодня – это консалтинговая компания и think-tank, где собственные теоретические разработки сочетаются с внедрением их в реальную практику. Институт выполняет проекты в области стратегического консалтинга для крупных компаний и корпораций, среднего и малого бизнеса; разработки и сопровождения государственных и региональных программ развития разных отраслей экономики и общества; формирования стратегий и программ развития регионов России; развития инновационных подходов к образованию; международной политики и международных проектов.
В Институте разработан набор уникальных инструментов и продуктов на основе мыследеятельностного подхода. Основной инструмент - это технология Сессий стратегического сценирования (ССС).
Сессии стратегического сценирования – особая форма организации коллективного мышления, коммуникации и процессов выработки и принятия решений важнейшими стейк-холдерами, специалистами, экспертами и лицами, принимающими решение. Технология ССС является развитием формы организационно-деятельностных игр (ОДИ), созданных в 1979 – 1989 гг. Г.П. Щедровицким и Московского Методологического Кружка.
Консалтинговое направление деятельности Института связано с оказанием услуг и выполнением договорных работ в интересах крупных отечественных и зарубежных компаний и корпораций, государственных корпораций, а также органов федеральной и региональной власти по тематикам:
− Стратегии и программы развития деятельности компаний и корпораций;
− Кадровые программы, развитие человеческих ресурсов, инновационное образование;
− Программы управления технологическими инновациями;
− Поддержка принятия сложных комплексных решений.
Исследовательское направление деятельности Института связано с собственными фундаментальными и прикладными исследованиями и перспективными разработками в таких областях, как:
− Социальная и политическая философия,
− Политическая антропология,
− Психология и антропология способностей,
− Педагогика и система образования,
− Эпистемология и управление знаниями,
− Исследования общественных институтов.
Также Институт владеет рядом образовательных технологий собственной разработки, прошедших успешную апробацию в московском образовании, – технологиями метапредметов, диагностики базовых способностей школьников, Школы генеральных конструкторов (ШГК) и рядом других.
Институт располагает собственной расширяющейся международной экспертной сетью, включающей ведущих мировых специалистов в областях современной экономики и финансов, философии, управления знаниями, энергетики, транспорта, коммерциализации инновационных технологий, математики, искусства и других научных или наукоемких направлениях и практиках.
Институт является разработчиком международного мегапроекта “Трансевразийский пояс развития” (ТЕПР) – комплексного проекта-программы создания центров формирования нового общественного богатства на территории, на основе интегрированных инфраструктур («мультиинфраструктур») и механизма долгосрочных инвестиций. Мегапроект ТЕПР рассматривается как комплексная программа выхода из разворачивающегося мирового экономического кризиса.
","Специалист отдела наукоемких проектов АНО ""Институт опережающих исследований им. Е.Л. Шифферса"""""
Кузьмина Ирина Юрьевна,"<p>Опыт работы:</p>
<p>Декабрь 2017 по настоящее время – Национальный исследовательский ядерный университет “МИФИ”, Центр профориентационных исследований, лаборант</p>
<p>Декабрь 2016 по настоящее время – Московский политехнический университет, факультет инженерная школа, менеджер проектов</p>
<p>Сентябрь 2015 по настоящее время – Главный специалист по интеллектуальным системам моделирования и управления Института опережающих исследований имени Е.Л. Шифферса</p>
<p>Декабрь 2017 – АНО «Казанский открытый университет талантов 2.0», архитектор образовательного модуля “Управление проектами”</p>
<p>Сентябрь 2017– Всероссийский Форум «Месторождение талантов-2017» г. Ярославль, модератор в направлении «Технологии Энергии»</p>
<p>Июль 2017 – Проектная смена в образовательном центре «Сириус», модератор в направлении «Энергетические технологии»</p>
<p>Апрель 2017 – Школа наставников проектного обучения, инновационный центр «Сколково», модератор</p>
<p>Март 2017 – очный тур Всероссийской Олимпиады НТИ, г. Сочи, организатор трека «Энергетические системы»</p>
<p>Ноябрь 2016 – Всероссийский Форум «Месторождение талантов-2016» г. Ярославль, модератор в направлении «Телекоммуникации» </p>
<p>Проекты «Проектория» (кейсы для портала и открытых уроков), проект «Водородный накопитель» смены «Большие вызовы» 2017 г. в ОЦ «Сириус», Олимпиада НТИ (трек «ИЭС»), летние инженерно-конструкторские школы «Лифт в будущее».</p>",,
Бурдин Илья Алексеевич,"<p>Опыт работы:</p>
<p>Фонд «Центр стратегических разработок Северо-Запад», Аналитик центра развития цифровой энергетике, Январь 2018 – н.в.</p>
<p>Фонд «Центр стратегических разработок», Аналитик проектного центра развития инноваций, Июль 2016 – декабрь 2017</p>
<p>МФТИ, Межвузовская программа, Ассистент преподавателя по курсу «Системная инженерия», Апрель 2016 – н. в.</p>
<p>EnergyNet, Эксперт, Секретарь архитектурно-технологического комитета, Декабрь 2015 – н. в.</p>
<p>ОАО «НПП «Пульсар», Инженер 3-й категории, Октябрь 2014 – Июль 2016</p>
<p>Проекты «Архитектуры Интернет энергии», «Развитие рынка систем накопления электроэнергии в РФ», направление «Современная энергетика» смены «Большие вызовы» 2017 г. в ОЦ «Сириус», Олимпиада НТИ (трек «ИЭС»), летние инженерно-конструкторские школы «Лифт в будущее».</p>","АНО «Институт опережающих исследований “Управление человеческими ресурссами” им. Е.Л. Шифферса»

Справка об организации
https://shiffersinstitute.com 
Институт опережающих исследований и управления человеческими ресурсами имени Е.Л. Шифферса (Институт Шифферса, или ИОИ) был создан в 2004 году гуманитарно-методологической научной группой Ю.В. Громыко, ведущей свои разработки в России с конца 1980-х годов. Это одновременно и консалтинговая компания и фабрика мысли (think tank).
Научная традиция Института восходит к Московскому методологическому кружку (ММК) Г.П. Щедровицкого, учеником которого является Ю.В. Громыко. Также ряд научных программ Института восходит к разработкам директора Психологического института РАО В.В. Давыдовым и театрального и кино-режиссера, философа Е.Л. Шифферсом, в честь которого назван институт.
Исследования и перспективные разработки в области общего и профессионального образования, педагогических технологий и развития способностей Институт вел совместно с коллективом НИИ Инновационных стратегий развития общего образования Департамента образования Москвы (НИИ ИСРОО) до его реорганизации в Московский институт развития образования (МИРО).
АНО «Институт опережающих исследований “Управление человеческими ресурсами” им. Е.Л. Шифферса» сегодня – это консалтинговая компания и think-tank, где собственные теоретические разработки сочетаются с внедрением их в реальную практику. Институт выполняет проекты в области стратегического консалтинга для крупных компаний и корпораций, среднего и малого бизнеса; разработки и сопровождения государственных и региональных программ развития разных отраслей экономики и общества; формирования стратегий и программ развития регионов России; развития инновационных подходов к образованию; международной политики и международных проектов.
В Институте разработан набор уникальных инструментов и продуктов на основе мыследеятельностного подхода. Основной инструмент - это технология Сессий стратегического сценирования (ССС).
Сессии стратегического сценирования – особая форма организации коллективного мышления, коммуникации и процессов выработки и принятия решений важнейшими стейк-холдерами, специалистами, экспертами и лицами, принимающими решение. Технология ССС является развитием формы организационно-деятельностных игр (ОДИ), созданных в 1979 – 1989 гг. Г.П. Щедровицким и Московского Методологического Кружка.
Консалтинговое направление деятельности Института связано с оказанием услуг и выполнением договорных работ в интересах крупных отечественных и зарубежных компаний и корпораций, государственных корпораций, а также органов федеральной и региональной власти по тематикам:
− Стратегии и программы развития деятельности компаний и корпораций;
− Кадровые программы, развитие человеческих ресурсов, инновационное образование;
− Программы управления технологическими инновациями;
− Поддержка принятия сложных комплексных решений.
Исследовательское направление деятельности Института связано с собственными фундаментальными и прикладными исследованиями и перспективными разработками в таких областях, как:
− Социальная и политическая философия,
− Политическая антропология,
− Психология и антропология способностей,
− Педагогика и система образования,
− Эпистемология и управление знаниями,
− Исследования общественных институтов.
Также Институт владеет рядом образовательных технологий собственной разработки, прошедших успешную апробацию в московском образовании, – технологиями метапредметов, диагностики базовых способностей школьников, Школы генеральных конструкторов (ШГК) и рядом других.
Институт располагает собственной расширяющейся международной экспертной сетью, включающей ведущих мировых специалистов в областях современной экономики и финансов, философии, управления знаниями, энергетики, транспорта, коммерциализации инновационных технологий, математики, искусства и других научных или наукоемких направлениях и практиках.
Институт является разработчиком международного мегапроекта “Трансевразийский пояс развития” (ТЕПР) – комплексного проекта-программы создания центров формирования нового общественного богатства на территории, на основе интегрированных инфраструктур («мультиинфраструктур») и механизма долгосрочных инвестиций. Мегапроект ТЕПР рассматривается как комплексная программа выхода из разворачивающегося мирового экономического кризиса.
",
